t1,t2,eig
FFFF,FFFF,0.9093
FFFF,FFFT,0.9603
FFFF,FFTF,0.9603
FFFF,FFTT,0.8876
FFFF,FTFF,0.9603
FFFF,FTFT,0.9774
FFFF,FTTF,0.8876
FFFF,FTTT,0.8441
FFFF,TFFF,0.8441
FFFF,TFFT,0.8876
FFFF,TFTF,0.9774
FFFF,TFTT,0.9603
FFFF,TTFF,0.8876
FFFF,TTFT,0.9603
FFFF,TTTF,0.9603
FFFF,TTTT,0.9093
FFFT,FFFF,0.9603
FFFT,FFFT,0.6676
FFFT,FFTF,0.6676
FFFT,FFTT,0.6926
FFFT,FTFF,0.6676
FFFT,FTFT,0.8391
FFFT,FTTF,0.6926
FFFT,FTTT,0.7472
FFFT,TFFF,0.7472
FFFT,TFFT,0.6926
FFFT,TFTF,0.8391
FFFT,TFTT,0.6676
FFFT,TTFF,0.6926
FFFT,TTFT,0.6676
FFFT,TTTF,0.6676
FFFT,TTTT,0.9603
FFTF,FFFF,0.9603
FFTF,FFFT,0.6676
FFTF,FFTF,0.6676
FFTF,FFTT,0.6926
FFTF,FTFF,0.6676
FFTF,FTFT,0.8391
FFTF,FTTF,0.6926
FFTF,FTTT,0.7472
FFTF,TFFF,0.7472
FFTF,TFFT,0.6926
FFTF,TFTF,0.8391
FFTF,TFTT,0.6676
FFTF,TTFF,0.6926
FFTF,TTFT,0.6676
FFTF,TTTF,0.6676
FFTF,TTTT,0.9603
FFTT,FFFF,0.8876
FFTT,FFFT,0.6926
FFTT,FFTF,0.6926
FFTT,FFTT,0.3613
FFTT,FTFF,0.6926
FFTT,FTFT,0.5115
FFTT,FTTF,0.3613
FFTT,FTTT,0.6483
FFTT,TFFF,0.6483
FFTT,TFFT,0.3613
FFTT,TFTF,0.5115
FFTT,TFTT,0.6926
FFTT,TTFF,0.3613
FFTT,TTFT,0.6926
FFTT,TTTF,0.6926
FFTT,TTTT,0.8876
FTFF,FFFF,0.9603
FTFF,FFFT,0.6676
FTFF,FFTF,0.6676
FTFF,FFTT,0.6926
FTFF,FTFF,0.6676
FTFF,FTFT,0.8391
FTFF,FTTF,0.6926
FTFF,FTTT,0.7472
FTFF,TFFF,0.7472
FTFF,TFFT,0.6926
FTFF,TFTF,0.8391
FTFF,TFTT,0.6676
FTFF,TTFF,0.6926
FTFF,TTFT,0.6676
FTFF,TTTF,0.6676
FTFF,TTTT,0.9603
FTFT,FFFF,0.9774
FTFT,FFFT,0.8391
FTFT,FFTF,0.8391
FTFT,FFTT,0.5115
FTFT,FTFF,0.8391
FTFT,FTFT,0.4832
FTFT,FTTF,0.5115
FTFT,FTTT,0.8452
FTFT,TFFF,0.8452
FTFT,TFFT,0.5115
FTFT,TFTF,0.4832
FTFT,TFTT,0.8391
FTFT,TTFF,0.5115
FTFT,TTFT,0.8391
FTFT,TTTF,0.8391
FTFT,TTTT,0.9774
FTTF,FFFF,0.8876
FTTF,FFFT,0.6926
FTTF,FFTF,0.6926
FTTF,FFTT,0.3613
FTTF,FTFF,0.6926
FTTF,FTFT,0.5115
FTTF,FTTF,0.3613
FTTF,FTTT,0.6483
FTTF,TFFF,0.6483
FTTF,TFFT,0.3613
FTTF,TFTF,0.5115
FTTF,TFTT,0.6926
FTTF,TTFF,0.3613
FTTF,TTFT,0.6926
FTTF,TTTF,0.6926
FTTF,TTTT,0.8876
FTTT,FFFF,0.8441
FTTT,FFFT,0.7472
FTTT,FFTF,0.7472
FTTT,FFTT,0.6483
FTTT,FTFF,0.7472
FTTT,FTFT,0.8452
FTTT,FTTF,0.6483
FTTT,FTTT,0.6004
FTTT,TFFF,0.6004
FTTT,TFFT,0.6483
FTTT,TFTF,0.8452
FTTT,TFTT,0.7472
FTTT,TTFF,0.6483
FTTT,TTFT,0.7472
FTTT,TTTF,0.7472
FTTT,TTTT,0.8441
TFFF,FFFF,0.8441
TFFF,FFFT,0.7472
TFFF,FFTF,0.7472
TFFF,FFTT,0.6483
TFFF,FTFF,0.7472
TFFF,FTFT,0.8452
TFFF,FTTF,0.6483
TFFF,FTTT,0.6004
TFFF,TFFF,0.6004
TFFF,TFFT,0.6483
TFFF,TFTF,0.8452
TFFF,TFTT,0.7472
TFFF,TTFF,0.6483
TFFF,TTFT,0.7472
TFFF,TTTF,0.7472
TFFF,TTTT,0.8441
TFFT,FFFF,0.8876
TFFT,FFFT,0.6926
TFFT,FFTF,0.6926
TFFT,FFTT,0.3613
TFFT,FTFF,0.6926
TFFT,FTFT,0.5115
TFFT,FTTF,0.3613
TFFT,FTTT,0.6483
TFFT,TFFF,0.6483
TFFT,TFFT,0.3613
TFFT,TFTF,0.5115
TFFT,TFTT,0.6926
TFFT,TTFF,0.3613
TFFT,TTFT,0.6926
TFFT,TTTF,0.6926
TFFT,TTTT,0.8876
TFTF,FFFF,0.9774
TFTF,FFFT,0.8391
TFTF,FFTF,0.8391
TFTF,FFTT,0.5115
TFTF,FTFF,0.8391
TFTF,FTFT,0.4832
TFTF,FTTF,0.5115
TFTF,FTTT,0.8452
TFTF,TFFF,0.8452
TFTF,TFFT,0.5115
TFTF,TFTF,0.4832
TFTF,TFTT,0.8391
TFTF,TTFF,0.5115
TFTF,TTFT,0.8391
TFTF,TTTF,0.8391
TFTF,TTTT,0.9774
TFTT,FFFF,0.9603
TFTT,FFFT,0.6676
TFTT,FFTF,0.6676
TFTT,FFTT,0.6926
TFTT,FTFF,0.6676
TFTT,FTFT,0.8391
TFTT,FTTF,0.6926
TFTT,FTTT,0.7472
TFTT,TFFF,0.7472
TFTT,TFFT,0.6926
TFTT,TFTF,0.8391
TFTT,TFTT,0.6676
TFTT,TTFF,0.6926
TFTT,TTFT,0.6676
TFTT,TTTF,0.6676
TFTT,TTTT,0.9603
TTFF,FFFF,0.8876
TTFF,FFFT,0.6926
TTFF,FFTF,0.6926
TTFF,FFTT,0.3613
TTFF,FTFF,0.6926
TTFF,FTFT,0.5115
TTFF,FTTF,0.3613
TTFF,FTTT,0.6483
TTFF,TFFF,0.6483
TTFF,TFFT,0.3613
TTFF,TFTF,0.5115
TTFF,TFTT,0.6926
TTFF,TTFF,0.3613
TTFF,TTFT,0.6926
TTFF,TTTF,0.6926
TTFF,TTTT,0.8876
TTFT,FFFF,0.9603
TTFT,FFFT,0.6676
TTFT,FFTF,0.6676
TTFT,FFTT,0.6926
TTFT,FTFF,0.6676
TTFT,FTFT,0.8391
TTFT,FTTF,0.6926
TTFT,FTTT,0.7472
TTFT,TFFF,0.7472
TTFT,TFFT,0.6926
TTFT,TFTF,0.8391
TTFT,TFTT,0.6676
TTFT,TTFF,0.6926
TTFT,TTFT,0.6676
TTFT,TTTF,0.6676
TTFT,TTTT,0.9603
TTTF,FFFF,0.9603
TTTF,FFFT,0.6676
TTTF,FFTF,0.6676
TTTF,FFTT,0.6926
TTTF,FTFF,0.6676
TTTF,FTFT,0.8391
TTTF,FTTF,0.6926
TTTF,FTTT,0.7472
TTTF,TFFF,0.7472
TTTF,TFFT,0.6926
TTTF,TFTF,0.8391
TTTF,TFTT,0.6676
TTTF,TTFF,0.6926
TTTF,TTFT,0.6676
TTTF,TTTF,0.6676
TTTF,TTTT,0.9603
TTTT,FFFF,0.9093
TTTT,FFFT,0.9603
TTTT,FFTF,0.9603
TTTT,FFTT,0.8876
TTTT,FTFF,0.9603
TTTT,FTFT,0.9774
TTTT,FTTF,0.8876
TTTT,FTTT,0.8441
TTTT,TFFF,0.8441
TTTT,TFFT,0.8876
TTTT,TFTF,0.9774
TTTT,TFTT,0.9603
TTTT,TTFF,0.8876
TTTT,TTFT,0.9603
TTTT,TTTF,0.9603
TTTT,TTTT,0.9093
